,X,Y,e
0,1.0,1.1158388,0.16583884
1,1.1158388,0.83557653,-0.22447026
2,0.83557653,0.645362,-0.14843568
3,0.645362,0.4704524,-0.14264151
4,0.4704524,0.22927879,-0.217651
5,0.22927879,-0.056389168,-0.27420402
6,-0.056389168,0.0644778,0.11804751
7,0.0644778,-0.108615965,-0.16986987
8,-0.108615965,0.1396829,0.24286807
9,0.1396829,-0.0583964,-0.19109516
10,-0.0583964,0.061519075,0.116995655
11,0.061519075,-0.19411016,-0.25255328
12,-0.19411016,-0.38477373,-0.20036909
13,-0.38477373,-0.20984197,0.15569308
14,-0.20984197,-0.4525203,-0.25317046
15,-0.4525203,-0.6583813,-0.22848697
16,-0.6583813,-0.87110513,-0.24564292
17,-0.87110513,-1.1145393,-0.2869894
18,-1.1145393,-1.2499614,-0.19114909
19,-1.2499614,-1.3262336,-0.13877028
20,-1.3262336,-1.1069083,0.15301353
21,-1.1069083,-1.1658611,-0.11429823
22,-1.1658611,-0.90125203,0.206316
23,-0.90125203,-1.0591916,-0.20300218
24,-1.0591916,-0.73191434,0.27431768
25,-0.73191434,-0.8908022,-0.19548358
26,-0.8908022,-1.0416282,-0.19536614
27,-1.0416282,-0.76397824,0.22556856
28,-0.76397824,-0.58885777,0.13692151
29,-0.58885777,-0.38106585,0.17834902
30,-0.38106585,-0.57386374,-0.21185121
31,-0.57386374,-0.3518883,0.19328223
32,-0.3518883,-0.6116921,-0.2773982
33,-0.6116921,-0.4338088,0.14729863
34,-0.4338088,-0.63929623,-0.22717787
35,-0.63929623,-0.8201755,-0.2128441
36,-0.8201755,-0.57003284,0.20913391
37,-0.57003284,-0.7166689,-0.17513771
38,-0.7166689,-0.9123442,-0.23150876
39,-0.9123442,-0.6935202,0.17320684
40,-0.6935202,-0.44120026,0.2176439
41,-0.44120026,-0.21236476,0.20677549
42,-0.21236476,0.023613393,0.22535992
43,0.023613393,0.16946508,0.14703235
44,0.16946508,-0.14358371,-0.30457553
