,X,Y,e
0,1.0,1.1204615,0.17046142
1,1.1204615,0.9450855,-0.11935285
2,0.9450855,1.1028469,0.20501557
3,1.1028469,1.0605122,0.012807671
4,1.0605122,0.9269186,-0.080567956
5,0.9269186,0.3774488,-0.5031239
6,0.3774488,0.38546282,0.026886478
7,0.38546282,0.24490756,-0.12128212
8,0.24490756,0.1649494,-0.06771277
9,0.1649494,-0.06253065,-0.21923259
10,-0.06253065,-0.046134718,0.013269403
11,-0.046134718,-0.2831024,-0.23927441
12,-0.2831024,0.5001943,0.7691416
13,0.5001943,0.5062047,0.031020109
14,0.5062047,0.40707046,-0.07382403
15,0.40707046,0.34877184,-0.037945084
16,0.34877184,0.931429,0.6000958
17,0.931429,0.87419504,-0.010662574
18,0.87419504,0.8679644,0.037479088
19,0.8679644,1.1649543,0.3403881
20,1.1649543,1.0658557,-0.040850822
21,1.0658557,1.0143402,0.0017771205
22,1.0143402,0.9028859,-0.060737275
23,0.9028859,0.89707696,0.039335374
24,0.89707696,0.8295947,-0.02262843
25,0.8295947,0.41278076,-0.37533414
26,0.41278076,0.2514424,-0.14069933
27,0.2514424,3.732081,3.4932106
28,3.732081,3.6820433,0.13656646
29,3.6820433,3.4757154,-0.022225585
30,3.4757154,3.276821,-0.025108648
31,3.276821,3.076708,-0.036271907
32,3.076708,2.9153168,-0.007555726
33,2.9153168,2.7709873,0.0014362211
34,2.7709873,2.5556414,-0.07679662
35,2.5556414,2.4962928,0.068433456
36,2.4962928,2.466037,0.09455903
37,2.466037,2.9845572,0.6418222
38,2.9845572,2.8085363,-0.026792994
39,2.8085363,2.5286112,-0.13949835
40,2.5286112,2.3102803,-0.09190038
41,2.3102803,2.1613314,-0.03343489
42,2.1613314,1.8480753,-0.20518954
43,1.8480753,2.308345,0.5526735
44,2.308345,2.53038,0.3374522
45,2.53038,1.4940298,-0.9098313
46,1.4940298,1.5259646,0.106636435
47,1.5259646,1.7224886,0.2728223
48,1.7224886,1.6197629,-0.016601378
49,1.6197629,1.5461469,0.0073721954
50,1.5461469,1.4720771,0.003237636
51,1.4720771,1.4401219,0.04164859
52,1.4401219,1.6824672,0.31435138
53,1.6824672,1.5549434,-0.04340036
54,1.5549434,1.4145272,-0.06266899
55,1.4145272,1.4664403,0.12263951
56,1.4664403,1.4716241,0.0785059
57,1.4716241,1.2608244,-0.13721846
58,1.2608244,1.3242064,0.12642306
59,1.3242064,1.2614324,0.0034364553
60,1.2614324,1.215424,0.017063089
61,1.215424,0.7681422,-0.3865105
62,0.7681422,0.76647574,0.036740668
63,0.76647574,0.7496823,0.0215304
64,0.7496823,0.5944113,-0.117786884
65,0.5944113,0.4868015,-0.07788926
66,0.4868015,0.29596886,-0.16649255
67,0.29596886,0.21333018,-0.06784024
68,0.21333018,0.12221979,-0.08044388
69,0.12221979,0.13221873,0.01610993
70,0.13221873,0.17980063,0.054192837
71,0.17980063,0.21341687,0.042606276
72,0.21341687,0.050788984,-0.15195705
73,0.050788984,0.013029315,-0.03522022
74,0.013029315,0.07686034,0.06448249
75,0.07686034,0.10169869,0.028681368
76,0.10169869,-0.007503979,-0.10411773
77,-0.007503979,-0.07161178,-0.064482994
78,-0.07161178,-0.052635234,0.0153959505
79,-0.052635234,0.1780128,0.22801627
80,0.1780128,0.1102041,-0.05890806
81,0.1102041,-0.38234285,-0.48703673
82,-0.38234285,-0.32751247,0.03571322
83,-0.32751247,-11.146625,-10.835487
84,-11.146625,-12.792775,-2.2034814
85,-12.792775,-12.18591,-0.032773618
86,-12.18591,-11.610072,-0.03345763
87,-11.610072,-11.0522375,-0.022669252
88,-11.0522375,-8.133275,2.36635
89,-8.133275,-6.9074106,0.81920046
90,-6.9074106,-6.3333645,0.22867535
91,-6.3333645,-6.105147,-0.0884507
92,-6.105147,-4.367899,1.4319906
93,-4.367899,-3.838489,0.31101474
94,-3.838489,-3.650011,-0.0034466179
95,-3.650011,-3.5253098,-0.057799436
96,-3.5253098,-3.448551,-0.09950659
97,-3.448551,-3.3288019,-0.052678637
98,-3.3288019,-3.1914034,-0.029041763
99,-3.1914034,-3.32623,-0.29439676
100,-3.32623,-3.147623,0.012295528
101,-3.147623,-4.257329,-1.267087
102,-4.257329,-4.0806227,-0.03616004
103,-4.0806227,-3.8703368,0.0062547587
104,-3.8703368,-3.5779166,0.09890327
105,-3.5779166,-3.371909,0.027111696
106,-3.371909,-3.1828618,0.02045149
107,-3.1828618,-2.8847125,0.13900623
108,-2.8847125,-2.7494066,-0.008929719
109,-2.7494066,-2.5414605,0.07047589
110,-2.5414605,-1.6051533,0.8092341
111,-1.6051533,-1.7849793,-0.2600837
112,-1.7849793,-1.5003054,0.19542496
113,-1.5003054,-1.5783994,-0.15310925
114,-1.5783994,-1.4581779,0.041301493
115,-1.4581779,-1.3733519,0.011917167
116,-1.3733519,-1.260497,0.044187322
117,-1.260497,-1.2009801,-0.0035080293
118,-1.2009801,-0.68533266,0.45559835
119,-0.68533266,-0.4422168,0.2088492
120,-0.4422168,-0.4412002,-0.021094246
121,-0.4412002,-0.40829727,0.010842931
