,X,Y
0,1.0,0.98629826
1,0.98629826,0.97640973
2,0.97640973,0.90218455
3,0.90218455,0.8131318
4,0.8131318,0.87372655
5,0.87372655,0.70410514
6,0.70410514,0.5952895
7,0.5952895,0.47291568
8,0.47291568,0.49963784
9,0.49963784,0.4591154
10,0.4591154,0.3727544
11,0.3727544,0.24011244
12,0.24011244,0.27607578
13,0.27607578,0.45582753
14,0.45582753,0.42832384
15,0.42832384,0.39061293
16,0.39061293,0.28658304
17,0.28658304,0.17819884
18,0.17819884,0.22220463
19,0.22220463,0.38956034
20,0.38956034,0.2957423
21,0.2957423,0.2619924
22,0.2619924,0.32934362
23,0.32934362,0.21612376
24,0.21612376,0.29434562
25,0.29434562,0.27622172
26,0.27622172,0.26435557
27,0.26435557,0.38142753
28,0.38142753,0.50970405
29,0.50970405,0.4314632
30,0.4314632,0.32404634
31,0.32404634,0.32598037
32,0.32598037,0.34580746
33,0.34580746,0.37637264
34,0.37637264,0.10707575
35,0.10707575,0.070253715
36,0.070253715,0.08426621
37,0.08426621,0.09828603
38,0.09828603,0.12658328
39,0.12658328,0.02005747
40,0.02005747,-0.019401912
41,-0.019401912,-0.19632958
42,-0.19632958,-0.21303067
43,-0.21303067,-0.08375428
44,-0.08375428,-0.12253116
45,-0.12253116,0.029717304
46,0.029717304,-0.09021039
47,-0.09021039,-0.1148538
48,-0.1148538,-0.13401453
49,-0.13401453,-0.20285733
50,-0.20285733,-0.3192872
51,-0.3192872,-0.2705929
52,-0.2705929,-0.20707035
53,-0.20707035,-0.24272522
54,-0.24272522,-0.26451516
55,-0.26451516,-0.3034733
56,-0.3034733,-0.2557959
57,-0.2557959,-0.40343845
58,-0.40343845,-0.43585417
59,-0.43585417,-0.47977877
60,-0.47977877,-0.36980742
61,-0.36980742,-0.41448498
62,-0.41448498,-0.3837886
63,-0.3837886,-0.46846557
64,-0.46846557,-0.5327046
65,-0.5327046,-0.54491305
66,-0.54491305,-0.34743828
67,-0.34743828,-0.32152924
68,-0.32152924,-0.33529407
69,-0.33529407,-0.28033775
70,-0.28033775,-0.33485475
71,-0.33485475,-0.3030608
72,-0.3030608,-0.17555249
73,-0.17555249,-0.10205659
74,-0.10205659,-0.1896297
75,-0.1896297,-0.22385222
76,-0.22385222,-0.25624967
77,-0.25624967,-0.1245986
78,-0.1245986,-0.16547185
79,-0.16547185,-0.20150955
80,-0.20150955,-0.20593646
81,-0.20593646,-0.3403268
82,-0.3403268,-0.27426535
83,-0.27426535,-0.33171037
84,-0.33171037,-0.24372673
85,-0.24372673,-0.2954127
86,-0.2954127,-0.35498896
87,-0.35498896,-0.033121854
88,-0.033121854,0.25933552
89,0.25933552,0.104585975
90,0.104585975,0.09214615
91,0.09214615,-0.04160296
92,-0.04160296,-0.13250208
93,-0.13250208,-0.12032025
94,-0.12032025,-0.13472523
95,-0.13472523,-0.004388027
96,-0.004388027,0.13155426
97,0.13155426,0.09886399
98,0.09886399,0.17820212
99,0.17820212,0.39129627
100,0.39129627,0.35340792
101,0.35340792,0.32291743
102,0.32291743,0.38026506
103,0.38026506,0.33642867
104,0.33642867,0.28268188
105,0.28268188,0.21576253
106,0.21576253,0.17654964
107,0.17654964,0.30948627
108,0.30948627,0.09188281
109,0.09188281,-0.04480157
110,-0.04480157,0.031696666
111,0.031696666,-0.0092762355
112,-0.0092762355,0.12879196
113,0.12879196,0.11187443
114,0.11187443,0.101397656
115,0.101397656,0.10180639
116,0.10180639,0.25787196
117,0.25787196,0.30118275
118,0.30118275,0.45470703
119,0.45470703,0.37767583
120,0.37767583,0.34782755
121,0.34782755,0.31705746
122,0.31705746,0.18609561
123,0.18609561,0.11193086
124,0.11193086,0.10828292
125,0.10828292,0.09004575
126,0.09004575,0.04662996
127,0.04662996,0.00045721978
128,0.00045721978,-0.08166068
129,-0.08166068,-0.0986406
130,-0.0986406,-0.016226307
